MJD,mag_R,dmag_R
55074.1,18.13,0.09
55081.56,20.43,0.03
55082.03,19.78,0.24
55083.43,20.17,0.08
55084.06,20.18,0.2
55085.42,20.66,0.07
55087.54,20.65,0.09
55089.42,20.61,0.06
55089.53,20.62,0.05
55098.39,18.48,0.06
55099.42,19.01,0.04
55099.56,18.93,0.06
55101.39,19.89,0.07
55103.64,19.32,0.03
55107.37,20.04,0.14
55111.36,20.47,0.13
55113.37,20.54,0.05
55118.46,20.51,0.06
55126.6,20.38,0.17
55134.83,19.31,0.04
55137.87,20.09,0.06
55145.82,20.18,0.03
55148.83,19.77,0.02
55156.82,20.69,0.06
55157.55,21.06,0.04
55159.6,20.89,0.09
55163.83,20.59,0.09
55169.83,20.95,0.07
55473.79,20.29,0.15
55475.6,20.67,0.07
55475.63,20.65,0.03
55475.7,20.65,0.08
55497.67,19.92,0.03
55499.56,19.88,0.06
55550.95,19.77,0.1
55553.95,20.14,0.16
55561.55,19.96,0.12
55563.55,19.93,0.08
55645.91,20.16,0.4
55662.9,20.87,0.2
55691.89,18.5,0.07
55707.13,20.59,0.15
55708.2,20.83,0.11
55709.19,20.81,0.18
55717.27,18.18,0.07
55723.26,20.12,0.17
55732.22,20.48,0.22
55736.82,20.63,0.1
55737.17,20.6,0.07
55738.78,20.87,0.09
55746.06,20.48,0.16
55751.11,18.18,0.05
55757.02,20.03,0.41
55766.2,20.34,0.09
55771.21,20.45,0.08
55777.24,18.46,0.05
55797.93,19.4,0.05
55801.12,19.91,0.03
55802.13,20.17,0.05
55804.24,20.39,0.05
55805.9,20.49,0.14
55808.01,20.73,0.07
55809.9,20.89,0.15
55810.66,21.0,0.08
55811.04,21.14,0.25
55817.9,20.77,0.17
55821.18,20.29,0.11
55821.92,19.56,0.05
55823.94,18.57,0.03
55826.15,17.86,0.04
55826.91,18.48,0.04
55826.98,18.58,0.03
55827.09,18.72,0.03
55829.18,19.02,0.24
55830.9,19.36,0.07
55830.98,19.4,0.03
55831.13,19.45,0.06
55831.99,19.65,0.07
55834.9,20.02,0.05
55838.91,18.85,0.04
55852.52,20.87,0.09
55852.99,20.82,0.08
55854.59,20.9,0.14
55855.91,20.84,0.07
55856.02,20.84,0.08
55858.91,20.5,0.06
55882.57,20.77,0.1
55892.94,19.96,0.06
55914.54,19.85,0.09
55916.53,19.7,0.11
56040.43,19.92,0.13
56147.73,18.22,0.03
56148.91,18.46,0.08
56150.9,18.23,0.05
56157.76,16.86,0.06
56164.78,16.94,0.02
56165.59,16.61,0.02
56166.65,16.73,0.03
56168.54,16.56,0.05
56170.54,16.54,0.05
56171.6,16.52,0.04
56172.62,16.57,0.04
56175.57,16.82,0.03
56175.85,16.78,0.07
56176.56,16.85,0.04
56177.53,16.8,0.08
56180.53,16.79,0.1
56181.25,16.54,0.04
56181.67,16.58,0.04
56188.54,17.66,0.1
56193.46,17.58,0.09
56193.59,17.61,0.06
56194.25,17.08,0.06
56194.58,17.53,0.06
56194.66,17.12,0.06
56195.040909,16.549,0.047
